stock,price,ret
005380,20000,6.4
005380,19300,-3.5
005380,18000,-6.7
005380,19100,6.1
005380,21000,10.0
005380,22000,4.8
005380,20000,-9.1
005380,19750,-1.2
005380,19300,-2.3
005380,18500,-4.2
005380,18600,0.5
005380,18500,-0.5
005380,18800,1.6
005380,18200,-3.2
005380,17500,-3.8
005380,17900,2.3
005380,18000,0.6
005380,17800,-1.1
005380,18600,4.5
005380,18500,-0.5
005380,18300,-1.1
005380,18800,2.7
005380,18500,-1.6
005380,17750,-4.0
005380,17000,-4.2
005380,16600,-2.4
005380,17000,2.4
005380,16500,-2.9
005380,16000,-3.0
005380,16300,1.9
005380,16700,2.4
005380,16300,-2.4
005380,16500,1.2
005380,17000,3.0
005380,17200,1.2
005380,17500,1.7
005380,17700,1.1
005380,17400,-1.7
005380,17100,-1.7
005380,16800,-1.8
005380,14800,-11.9
005380,13600,-8.1
005380,14300,5.2
005380,14900,4.2
005380,14300,-4.0
005380,14600,2.1
005380,13900,-4.8
005380,13900,0.0
005380,14900,7.2
005380,15000,0.7
005380,16000,6.7
005380,15400,-3.8
005380,16400,6.5
005380,14800,-9.8
005380,15000,1.4
005380,15000,0.0
005380,15100,0.7
005380,15900,5.3
005380,16200,1.9
005380,16000,-1.2
005380,15500,-3.1
005380,14900,-3.9
005380,14800,-0.7
005380,14500,-2.0
005380,13600,-6.2
005380,13300,-2.2
005380,14200,6.8
005380,14100,-0.7
005380,13900,-1.4
005380,14800,6.5
005380,14900,0.7
005380,14100,-5.4
005380,14400,2.1
005380,13950,-3.1
005380,14400,3.2
005380,14700,2.1
005380,14200,-3.4
005380,13700,-3.5
005380,13400,-2.2
005380,12800,-4.5
005380,13000,1.6
005380,13500,3.8
005380,14000,3.7
005380,14000,0.0
005380,15100,7.9
005380,14800,-2.0
005380,14200,-4.0
005380,14000,-1.4
005380,14500,3.6
005380,13700,-5.5
005380,13950,1.8
005380,14000,0.4
005380,14500,3.6
005380,14600,0.7
005380,14200,-2.7
